image_id,source_group,provenance,analysis_status,predicted_disc_count,expected_disc_count,count_matches_ground_truth,matched_disc_count,measurement_mae_mm,measurement_max_abs_error_mm,missing_codes,unexpected_codes,review_required_count,failed_count,strict_failed,full_pass,root_causes,warnings
1.1.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,17.14,30.0,,,16,0,True,False,incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,
1.10.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,10.47,24.0,,,16,0,True,False,image_quality_or_thresholding_issue | incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.2.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,11.37,22.69,,,16,0,True,False,incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,
1.3.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,16.92,30.0,,,16,0,True,False,incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,
1.4.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,10.99,19.0,,,16,0,True,False,image_quality_or_thresholding_issue | incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.5.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,18.95,32.0,,,16,0,True,False,incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,
1.6.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,14.2,30.0,,,16,0,True,False,incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,
1.7.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,15,12.3,24.0,ETP,VA,16,0,True,False,image_quality_or_thresholding_issue | incorrect_no_zone_fallback | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.8.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,15,11.11,23.0,TOB,SXT,16,0,True,False,image_quality_or_thresholding_issue | incorrect_no_zone_fallback | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.9.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,16,13.19,26.0,,,16,0,True,False,image_quality_or_thresholding_issue | incorrect_no_zone_fallback | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
